eventid,roadname,median_hours_to_first_service
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,VAN BUREN ST,-81.64276728944444
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,MARY ST,-81.6444339561111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,WESTCOTT ST,-81.6469339561111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,IRVING AV,-81.64985062277776
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,S WILBUR AV,-81.67471173388888
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,ASH ST,-81.69387840055555
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SHOTWELL PARK,-81.71221173388888
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,BALL AV,-81.7194339561111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SCOTTHOLM TER,-81.72123951166665
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,N TOWNSEND ST,-81.72276728944443
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,MCCARTHY AV,-81.72693395611111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,FAYETTE BLVD,-81.74026728944443
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,W WILLOW ST,-81.74512840055556
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SPRINGFIELD RD,-81.74776728944444
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SUNNYCREST RD,-81.75123951166665
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SCHOECK AV,-81.75526728944443
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SEDGWICK DR,-81.76304506722221
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,LODI ST,-81.77748951166666
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,W COURT ST,-81.78276728944444
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,NOTTINGHAM RD,-81.78443395611112
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,HAMPSHIRE RD,-81.79415617833332
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,WINKWORTH PKWY,-81.79748951166665
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,COMSTOCK AV,-81.80026728944443
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,STATE FAIR BLVD,-81.81804506722222
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,N WEST ST,-81.82193395611111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,RICHARD RD,-81.82471173388889
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,KIMBER RD,-81.84748951166667
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,E COLVIN ST,-81.85901728944444
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SALT SPRINGS RD,-81.86401728944443
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,E WILLOW ST,-81.89360062277777
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,TENNYSON AV,-81.89887840055555
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,S FRANKLIN ST,-81.89915617833333
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,MERRELL RD,-81.91304506722221
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,GARFIELD AV,-81.9256839561111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,JAMES - GRANT,-81.93193395611111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SALINA ST,-81.93582284499999
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,E JEFFERSON ST,-81.94221173388888
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,HERALD PL,-81.94748951166666
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,JULIAN PL,-81.95110062277777
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,UNIVERSITY AV,-81.95526728944444
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,PROSPECT AV,-81.96776728944444
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,E ONONDAGA ST,-81.97471173388888
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,MANOR DR,-81.98596173388889
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,BRYANT AV,-81.99498951166666
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,MEADOWBROOK DR,-81.99832284499999
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,UNION AV,-82.00262840055555
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,W ONONDAGA ST,-82.03526728944443
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,N FRANKLIN ST,-82.04026728944444
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,COLUMBUS AV,-82.04971173388888
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,HARRISON PL,-82.06026728944444
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,S WARREN ST,-82.075822845
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,ONONDAGA BLVD,-82.0919339561111
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,HICKORY ST,-82.09540617833332
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,THOMPSON RD,-82.115822845
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,VELASKO RD,-82.11887840055554
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,UNNAMED STREET,-82.13526728944444
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,SMITH ST,-82.14262840055555
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,GRANT TER,-82.17776728944443
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,LIME ST,-82.20165617833334
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,E LAUREL ST,-82.21526728944444
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,N MCBRIDE ST,-82.24012840055555
0a4138c6-cc5c-4cba-a7b0-3c06695345ef,BROAD ST,-82.24498951166666
