bucket_from,bucket_to,delta_hours_median,delta_hours_p10,delta_hours_p90,n_events,n_pairs
P1-RRoute01,P2-RRoute35,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute01,P2-RRoute36,7.627025673055555,7.627025673055555,7.627025673055555,1,1
P1-RRoute01,P2-RRoute4,1.1565780219444444,1.1565780219444444,1.1565780219444444,1,1
P1-RRoute01,P2-RRoute5,1.8717847605555555,1.8717847605555555,1.8717847605555555,1,1
P1-RRoute01,P2-RRoute6,1.1565780219444444,1.1565780219444444,1.1565780219444444,1,1
P1-RRoute01,P2-RRoute7,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute01,P2-RRoute8,0.0,0.0,0.0,1,1
P1-RRoute01,P2-RRoute9,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute02,P1-RRoute01,0.0,0.0,0.0,1,1
P1-RRoute02,P1-RRoute02,0.0,0.0,0.0,1,1
P1-RRoute02,P1-RRoute10,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute02,P1-RRoute11,5.086861886388888,5.086861886388888,5.086861886388888,1,1
P1-RRoute02,P1-RRoute12,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute02,P1-RRoute13,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute02,P1-RRoute14,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
